,filename,preproc_ms,work_ms
127,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group3_5_1.mtx,0.728256,0.041056
128,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group4_2_1.mtx,0.990208,0.040544
129,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group2_2_1.mtx,0.647584,0.041024
130,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group3_5_1.mtx,1.195968,0.041568
131,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group_projection_block_group1.mtx,0.06144,0.016512
132,dlmc/rn50/random_pruning/0.8/bottleneck_projection_block_group_projection_block_group4.mtx,1.6472,0.077504
133,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group_projection_block_group4.mtx,0.995872,0.041408
134,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group_projection_block_group3.mtx,1.187104,0.041696
135,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group1_1_1.mtx,0.0592,0.015104
136,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group2_2_1.mtx,0.036512,0.013952
137,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group1_1_1.mtx,0.049152,0.010752
138,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group_projection_block_group3.mtx,0.658848,0.040896
139,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group2_3_1.mtx,0.649632,0.042144
140,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group3_3_1.mtx,0.566912,0.040352
141,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group3_5_1.mtx,0.564192,0.03984
142,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group3_3_1.mtx,0.7064,0.040288
143,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group4_2_1.mtx,1.25888,0.042208
144,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group_projection_block_group2.mtx,0.790752,0.041184
145,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group4_1_1.mtx,2.597024,0.082176
146,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group1_2_1.mtx,0.047104,0.011392
147,dlmc/rn50/random_pruning/0.8/bottleneck_projection_block_group_projection_block_group2.mtx,0.604512,0.038816
148,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group_projection_block_group2.mtx,0.604192,0.040864
149,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group3_3_1.mtx,1.202464,0.041728
150,dlmc/rn50/random_pruning/0.8/bottleneck_projection_block_group_projection_block_group1.mtx,0.037056,0.014304
151,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group2_1_1.mtx,0.035936,0.013792
152,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group2_3_1.mtx,0.034816,0.014048
153,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group1_2_1.mtx,0.057184,0.015008
154,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group3_4_1.mtx,1.174304,0.042592
155,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group_projection_block_group4.mtx,0.952736,0.041696
156,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group4_2_1.mtx,2.630464,0.07584
157,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group3_1_1.mtx,0.570048,0.040096
158,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group3_4_1.mtx,0.579232,0.04032
159,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group1_2_1.mtx,0.043904,0.014144
160,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group4_1_1.mtx,1.281376,0.041184
161,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group4_1_1.mtx,0.989216,0.040896
162,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group_projection_block_group1.mtx,0.02864,0.014176
163,dlmc/rn50/random_pruning/0.95/final_dense.mtx,0.063104,0.02224
164,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group_projection_block_group4.mtx,0.685856,0.029792
165,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group3_2_1.mtx,0.038272,0.015072
166,dlmc/rn50/random_pruning/0.95/bottleneck_projection_block_group_projection_block_group3.mtx,0.035264,0.013536
167,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group3_4_1.mtx,0.035616,0.013888
168,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group1_1_1.mtx,0.02784,0.013632
169,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group2_1_1.mtx,0.038528,0.014816
170,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group3_1_1.mtx,0.03728,0.014912
171,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group3_2_1.mtx,0.035616,0.01344
172,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group3_1_1.mtx,0.056032,0.023424
173,dlmc/rn50/random_pruning/0.95/initial_conv.mtx,0.0336,0.01504
174,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group_projection_block_group3.mtx,0.02704,0.01488
175,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group2_3_1.mtx,0.03888,0.015264
176,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group2_1_1.mtx,0.039488,0.015104
177,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group3_2_1.mtx,0.05584,0.02208
178,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group_projection_block_group2.mtx,0.028416,0.014336
179,dlmc/rn50/random_pruning/0.95/bottleneck_3_block_group_projection_block_group1.mtx,0.02784,0.014048
180,dlmc/rn50/random_pruning/0.95/bottleneck_2_block_group2_2_1.mtx,0.046208,0.015168
181,dlmc/rn50/random_pruning/0.95/bottleneck_1_block_group3_5_1.mtx,0.0384,0.01488
